team1,team2,match_date,toss_winner,toss_decision,winner,player_of_match,venue,season,match_type
Kolkata Knight Riders,Lucknow Super Giants,05-05-2024,Lucknow Super Giants,field,Kolkata Knight Riders,SP Narine,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",17,League
Chennai Super Kings,Punjab Kings,05-05-2024,Punjab Kings,field,Chennai Super Kings,RA Jadeja,"Himachal Pradesh Cricket Association Stadium, Dharamsala",17,League
Sunrisers Hyderabad,Mumbai Indians,06-05-2024,Mumbai Indians,field,Mumbai Indians,SA Yadav,"Wankhede Stadium, Mumbai",17,League
Delhi Capitals,Rajasthan Royals,07-05-2024,Rajasthan Royals,field,Delhi Capitals,Kuldeep Yadav,"Arun Jaitley Stadium, Delhi",17,League
Lucknow Super Giants,Sunrisers Hyderabad,08-05-2024,Lucknow Super Giants,bat,Sunrisers Hyderabad,TM Head,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",17,League
Royal Challengers Bengaluru,Punjab Kings,09-05-2024,Punjab Kings,field,Royal Challengers Bengaluru,V Kohli,"Himachal Pradesh Cricket Association Stadium, Dharamsala",17,League
Gujarat Titans,Chennai Super Kings,10-05-2024,Chennai Super Kings,field,Gujarat Titans,Shubman Gill,"Narendra Modi Stadium, Ahmedabad",17,League
Kolkata Knight Riders,Mumbai Indians,11-05-2024,Mumbai Indians,field,Kolkata Knight Riders,CV Varun,"Eden Gardens, Kolkata",17,League
Royal Challengers Bengaluru,Delhi Capitals,12-05-2024,Delhi Capitals,field,Royal Challengers Bengaluru,C Green,"M Chinnaswamy Stadium, Bengaluru",17,League
Rajasthan Royals,Chennai Super Kings,12-05-2024,Rajasthan Royals,bat,Chennai Super Kings,Simarjeet Singh,"MA Chidambaram Stadium, Chepauk, Chennai",17,League
Delhi Capitals,Lucknow Super Giants,14-05-2024,Lucknow Super Giants,field,Delhi Capitals,I Sharma,"Arun Jaitley Stadium, Delhi",17,League
Rajasthan Royals,Punjab Kings,15-05-2024,Rajasthan Royals,bat,Punjab Kings,SM Curran,"Barsapara Cricket Stadium, Guwahati",17,League
Lucknow Super Giants,Mumbai Indians,17-05-2024,Mumbai Indians,field,Lucknow Super Giants,N Pooran,"Wankhede Stadium, Mumbai",17,League
Royal Challengers Bengaluru,Chennai Super Kings,18-05-2024,Chennai Super Kings,field,Royal Challengers Bengaluru,F du Plessis,"M Chinnaswamy Stadium, Bengaluru",17,League
Punjab Kings,Sunrisers Hyderabad,19-05-2024,Punjab Kings,bat,Sunrisers Hyderabad,Abhishek Sharma,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",17,League
Sunrisers Hyderabad,Kolkata Knight Riders,21-05-2024,Sunrisers Hyderabad,bat,Kolkata Knight Riders,MA Starc,"Narendra Modi Stadium, Ahmedabad",17,Qualifier 1
Royal Challengers Bengaluru,Rajasthan Royals,22-05-2024,Rajasthan Royals,field,Rajasthan Royals,R Ashwin,"Narendra Modi Stadium, Ahmedabad",17,Eliminator
Sunrisers Hyderabad,Rajasthan Royals,24-05-2024,Rajasthan Royals,field,Sunrisers Hyderabad,Shahbaz Ahmed,"MA Chidambaram Stadium, Chepauk, Chennai",17,Qualifier 2
Sunrisers Hyderabad,Kolkata Knight Riders,26-05-2024,Sunrisers Hyderabad,bat,Kolkata Knight Riders,MA Starc,"MA Chidambaram Stadium, Chepauk, Chennai",17,Final
Kolkata Knight Riders,Royal Challengers Bengaluru,22-03-2025,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,KH Pandya,"Eden Gardens, Kolkata",18,League
Mumbai Indians,Chennai Super Kings,23-03-2025,Chennai Super Kings,field,Chennai Super Kings,Noor Ahmad,"MA Chidambaram Stadium, Chepauk, Chennai",18,League
Sunrisers Hyderabad,Rajasthan Royals,23-03-2025,Rajasthan Royals,field,Sunrisers Hyderabad,Ishan Kishan,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",18,League
Lucknow Super Giants,Delhi Capitals,24-03-2025,Delhi Capitals,field,Delhi Capitals,Ashutosh Sharma,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",18,League
Punjab Kings,Gujarat Titans,25-03-2025,Gujarat Titans,field,Punjab Kings,SS Iyer,"Narendra Modi Stadium, Ahmedabad",18,League
Rajasthan Royals,Kolkata Knight Riders,26-03-2025,Kolkata Knight Riders,field,Kolkata Knight Riders,Q de Kock,"Barsapara Cricket Stadium, Guwahati",18,League
Sunrisers Hyderabad,Lucknow Super Giants,27-03-2025,Lucknow Super Giants,field,Lucknow Super Giants,SN Thakur,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",18,League
Royal Challengers Bengaluru,Chennai Super Kings,28-03-2025,Chennai Super Kings,field,Royal Challengers Bengaluru,RM Patidar,"MA Chidambaram Stadium, Chepauk, Chennai",18,League
Gujarat Titans,Mumbai Indians,29-03-2025,Mumbai Indians,field,Gujarat Titans,M Prasidh Krishna,"Narendra Modi Stadium, Ahmedabad",18,League
Sunrisers Hyderabad,Delhi Capitals,30-03-2025,Sunrisers Hyderabad,bat,Delhi Capitals,MA Starc,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",18,League
Rajasthan Royals,Chennai Super Kings,30-03-2025,Chennai Super Kings,field,Rajasthan Royals,N Rana,"Barsapara Cricket Stadium, Guwahati",18,League
Kolkata Knight Riders,Mumbai Indians,31-03-2025,Mumbai Indians,field,Mumbai Indians,Ashwani Kumar,"Wankhede Stadium, Mumbai",18,League
Lucknow Super Giants,Punjab Kings,01-04-2025,Punjab Kings,field,Punjab Kings,P Simran Singh,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",18,League
Royal Challengers Bengaluru,Gujarat Titans,02-04-2025,Gujarat Titans,field,Gujarat Titans,Mohammed Siraj,"M Chinnaswamy Stadium, Bengaluru",18,League
Kolkata Knight Riders,Sunrisers Hyderabad,03-04-2025,Sunrisers Hyderabad,field,Kolkata Knight Riders,VG Arora,"Eden Gardens, Kolkata",18,League
Lucknow Super Giants,Mumbai Indians,04-04-2025,Mumbai Indians,field,Lucknow Super Giants,DS Rathi,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",18,League
Rajasthan Royals,Punjab Kings,05-04-2025,Punjab Kings,field,Rajasthan Royals,JC Archer,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",18,League
Delhi Capitals,Chennai Super Kings,05-04-2025,Delhi Capitals,bat,Delhi Capitals,KL Rahul,"MA Chidambaram Stadium, Chepauk, Chennai",18,League
Sunrisers Hyderabad,Gujarat Titans,06-04-2025,Gujarat Titans,field,Gujarat Titans,Mohammed Siraj,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",18,League
Royal Challengers Bengaluru,Mumbai Indians,07-04-2025,Mumbai Indians,field,Royal Challengers Bengaluru,RM Patidar,"Wankhede Stadium, Mumbai",18,League
Punjab Kings,Chennai Super Kings,08-04-2025,Punjab Kings,bat,Punjab Kings,Priyansh Arya,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",18,League
Lucknow Super Giants,Kolkata Knight Riders,08-04-2025,Kolkata Knight Riders,field,Lucknow Super Giants,N Pooran,"Eden Gardens, Kolkata",18,League
Gujarat Titans,Rajasthan Royals,09-04-2025,Rajasthan Royals,field,Gujarat Titans,B Sai Sudharsan,"Narendra Modi Stadium, Ahmedabad",18,League
Royal Challengers Bengaluru,Delhi Capitals,10-04-2025,Delhi Capitals,field,Delhi Capitals,KL Rahul,"M Chinnaswamy Stadium, Bengaluru",18,League
Chennai Super Kings,Kolkata Knight Riders,11-04-2025,Kolkata Knight Riders,field,Kolkata Knight Riders,SP Narine,"MA Chidambaram Stadium, Chepauk, Chennai",18,League
Gujarat Titans,Lucknow Super Giants,12-04-2025,Lucknow Super Giants,field,Lucknow Super Giants,AK Markram,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",18,League
Punjab Kings,Sunrisers Hyderabad,12-04-2025,Punjab Kings,bat,Sunrisers Hyderabad,Abhishek Sharma,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",18,League
Rajasthan Royals,Royal Challengers Bengaluru,13-04-2025,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,PD Salt,"Sawai Mansingh Stadium, Jaipur",18,League
Mumbai Indians,Delhi Capitals,13-04-2025,Delhi Capitals,field,Mumbai Indians,KV Sharma,"Arun Jaitley Stadium, Delhi",18,League
Lucknow Super Giants,Chennai Super Kings,14-04-2025,Chennai Super Kings,field,Chennai Super Kings,MS Dhoni,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",18,League
Punjab Kings,Kolkata Knight Riders,15-04-2025,Punjab Kings,bat,Punjab Kings,YS Chahal,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",18,League
Delhi Capitals,Rajasthan Royals,16-04-2025,Rajasthan Royals,field,,MA Starc,"Arun Jaitley Stadium, Delhi",18,League
Sunrisers Hyderabad,Mumbai Indians,17-04-2025,Mumbai Indians,field,Mumbai Indians,WG Jacks,"Wankhede Stadium, Mumbai",18,League
Royal Challengers Bengaluru,Punjab Kings,18-04-2025,Punjab Kings,field,Punjab Kings,TH David,"M Chinnaswamy Stadium, Bengaluru",18,League
Delhi Capitals,Gujarat Titans,19-04-2025,Gujarat Titans,field,Gujarat Titans,JC Buttler,"Narendra Modi Stadium, Ahmedabad",18,League
Lucknow Super Giants,Rajasthan Royals,19-04-2025,Lucknow Super Giants,bat,Lucknow Super Giants,Avesh Khan,"Sawai Mansingh Stadium, Jaipur",18,League
Punjab Kings,Royal Challengers Bengaluru,20-04-2025,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,V Kohli,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",18,League
Chennai Super Kings,Mumbai Indians,20-04-2025,Mumbai Indians,field,Mumbai Indians,RG Sharma,"Wankhede Stadium, Mumbai",18,League
Gujarat Titans,Kolkata Knight Riders,21-04-2025,Kolkata Knight Riders,field,Gujarat Titans,Shubman Gill,"Eden Gardens, Kolkata",18,League
Lucknow Super Giants,Delhi Capitals,22-04-2025,Delhi Capitals,field,Delhi Capitals,Mukesh Kumar,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",18,League
Sunrisers Hyderabad,Mumbai Indians,23-04-2025,Mumbai Indians,field,Mumbai Indians,TA Boult,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",18,League
Royal Challengers Bengaluru,Rajasthan Royals,24-04-2025,Rajasthan Royals,field,Royal Challengers Bengaluru,JR Hazlewood,"M Chinnaswamy Stadium, Bengaluru",18,League
Chennai Super Kings,Sunrisers Hyderabad,25-04-2025,Sunrisers Hyderabad,field,Sunrisers Hyderabad,HV Patel,"MA Chidambaram Stadium, Chepauk, Chennai",18,League
Punjab Kings,Kolkata Knight Riders,26-04-2025,Punjab Kings,bat,,N,"Eden Gardens, Kolkata",18,League
Mumbai Indians,Lucknow Super Giants,27-04-2025,Lucknow Super Giants,field,Mumbai Indians,WG Jacks,"Wankhede Stadium, Mumbai",18,League
Delhi Capitals,Royal Challengers Bengaluru,27-04-2025,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,KH Pandya,"Arun Jaitley Stadium, Delhi",18,League
Gujarat Titans,Rajasthan Royals,28-04-2025,Rajasthan Royals,field,Rajasthan Royals,V Suryavanshi,"Sawai Mansingh Stadium, Jaipur",18,League
Kolkata Knight Riders,Delhi Capitals,29-04-2025,Delhi Capitals,field,Kolkata Knight Riders,SP Narine,"Arun Jaitley Stadium, Delhi",18,League
Chennai Super Kings,Punjab Kings,30-04-2025,Punjab Kings,field,Punjab Kings,SS Iyer,"MA Chidambaram Stadium, Chepauk, Chennai",18,League
Mumbai Indians,Rajasthan Royals,01-05-2025,Rajasthan Royals,field,Mumbai Indians,RD Rickelton,"Sawai Mansingh Stadium, Jaipur",18,League
Gujarat Titans,Sunrisers Hyderabad,02-05-2025,Sunrisers Hyderabad,field,Gujarat Titans,M Prasidh Krishna,"Narendra Modi Stadium, Ahmedabad",18,League
Royal Challengers Bengaluru,Chennai Super Kings,03-05-2025,Chennai Super Kings,field,Royal Challengers Bengaluru,R Shepherd,"M Chinnaswamy Stadium, Bengaluru",18,League
Punjab Kings,Lucknow Super Giants,04-05-2025,Lucknow Super Giants,field,Punjab Kings,P Simran Singh,"Himachal Pradesh Cricket Association Stadium, Dharamsala",18,League
Kolkata Knight Riders,Rajasthan Royals,04-05-2025,Kolkata Knight Riders,bat,Kolkata Knight Riders,AD Russell,"Eden Gardens, Kolkata",18,League
Delhi Capitals,Sunrisers Hyderabad,05-05-2025,Sunrisers Hyderabad,field,,N,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",18,League
Mumbai Indians,Gujarat Titans,06-05-2025,Gujarat Titans,field,Gujarat Titans,Shubman Gill,"Wankhede Stadium, Mumbai",18,League
Kolkata Knight Riders,Chennai Super Kings,07-05-2025,Kolkata Knight Riders,bat,Chennai Super Kings,Noor Ahmad,"Eden Gardens, Kolkata",18,League
Punjab Kings,Delhi Capitals,08-05-2025,Punjab Kings,bat,,N,"Himachal Pradesh Cricket Association Stadium, Dharamsala",18,League
Delhi Capitals,Gujarat Titans,18-05-2025,Gujarat Titans,field,Gujarat Titans,B Sai Sudharsan,"Arun Jaitley Stadium, Delhi",18,League
Punjab Kings,Rajasthan Royals,18-05-2025,Punjab Kings,bat,Punjab Kings,Harpreet Brar,"Sawai Mansingh Stadium, Jaipur",18,League
Lucknow Super Giants,Sunrisers Hyderabad,19-05-2025,Sunrisers Hyderabad,field,Sunrisers Hyderabad,Abhishek Sharma,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",18,League
Chennai Super Kings,Rajasthan Royals,20-05-2025,Rajasthan Royals,field,Rajasthan Royals,Akash Madhwal,"Arun Jaitley Stadium, Delhi",18,League
Mumbai Indians,Delhi Capitals,21-05-2025,Delhi Capitals,field,Mumbai Indians,SA Yadav,"Wankhede Stadium, Mumbai",18,League
Lucknow Super Giants,Gujarat Titans,22-05-2025,Gujarat Titans,field,Lucknow Super Giants,MR Marsh,"Narendra Modi Stadium, Ahmedabad",18,League
Sunrisers Hyderabad,Royal Challengers Bengaluru,23-05-2025,Royal Challengers Bengaluru,field,Sunrisers Hyderabad,Ishan Kishan,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",18,League
Punjab Kings,Delhi Capitals,24-05-2025,Delhi Capitals,field,Delhi Capitals,Sameer Rizvi,"Sawai Mansingh Stadium, Jaipur",18,League
Sunrisers Hyderabad,Kolkata Knight Riders,25-05-2025,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,H Klaasen,"Arun Jaitley Stadium, Delhi",18,League
Chennai Super Kings,Gujarat Titans,25-05-2025,Chennai Super Kings,bat,Chennai Super Kings,D Brevis,"Narendra Modi Stadium, Ahmedabad",18,League
Mumbai Indians,Punjab Kings,26-05-2025,Punjab Kings,field,Punjab Kings,JP Inglis,"Sawai Mansingh Stadium, Jaipur",18,League
Lucknow Super Giants,Royal Challengers Bengaluru,27-05-2025,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,JM Sharma,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",18,League
Punjab Kings,Royal Challengers Bengaluru,29-05-2025,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,Suyash Sharma,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",18,Qualifier 1
Mumbai Indians,Gujarat Titans,30-05-2025,Mumbai Indians,bat,Mumbai Indians,RG Sharma,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",18,Eliminator
Mumbai Indians,Punjab Kings,01-06-2025,Punjab Kings,field,Punjab Kings,SS Iyer,"Narendra Modi Stadium, Ahmedabad",18,Qualifier 2
Royal Challengers Bengaluru,Punjab Kings,03-06-2025,Punjab Kings,field,Royal Challengers Bengaluru,KH Pandya,"Narendra Modi Stadium, Ahmedabad",18,Final
Royal Challengers Bengaluru,Sunrisers Hyderabad,"March 28, 2026",Royal Challengers Bengaluru,Bowl,Royal Challengers Bengaluru,Jacob Duffy,"M. Chinnaswamy Stadium, Bangalore",19,League
Mumbai Indians,Kolkata Knight Riders,"March 29, 2026",Mumbai Indians,Bowl,Mumbai Indians,Shardul Thakur,"Wankhede Stadium, Mumbai",19,League
Rajasthan Royals,Chennai Super Kings,"March 30, 2026",Rajasthan Royals,Bowl,Rajasthan Royals,Nandre Burger,"Barsapara Stadium, Guwahati",19,League
Punjab Kings,Gujarat Titans,"March 31, 2026",Punjab Kings,Bowl,Punjab Kings,Cooper Connolly,"New PCA Cricket Stadium, Mullanpur",19,League
Lucknow Super Giants,Delhi Capitals,"April 01, 2026",Delhi Capitals,Bowl,Delhi Capitals,Sameer Rizvi,"Ekana Cricket Stadium, Lucknow",19,League
Kolkata Knight Riders,Sunrisers Hyderabad,"April 02, 2026",Kolkata Knight Riders,Bowl,Sunrisers Hyderabad,Nitish Kumar Reddy,"Eden Gardens, Kolkata",19,League
Chennai Super Kings,Punjab Kings,"April 03, 2026",Punjab Kings,Bowl,Punjab Kings,Priyansh Arya,"MA Chidambaram Stadium, Chennai",19,League
Delhi Capitals,Mumbai Indians,"April 04, 2026",Delhi Capitals,Bowl,Delhi Capitals,Sameer Rizvi,"Arun Jaitley Stadium, Delhi",19,League
Gujarat Titans,Rajasthan Royals,"April 04, 2026",Rajasthan Royals,Bat,Rajasthan Royals,Ravi Bishnoi,"Narendra Modi Stadium, Ahmedabad",19,League
Sunrisers Hyderabad,Lucknow Super Giants,"April 05, 2026",Lucknow Super Giants,Bowl,Lucknow Super Giants,Mohammed Shami,"Rajiv Gandhi International Stadium, Hyderabad",19,League
Royal Challengers Bengaluru,Chennai Super Kings,"April 05, 2026",Chennai Super Kings,Bowl,Royal Challengers Bengaluru,Tim David,"M. Chinnaswamy Stadium, Bangalore",19,League
Kolkata Knight Riders,Punjab Kings,"April 06, 2026",Kolkata Knight Riders,Bat,,,"Eden Gardens, Kolkata",19,League
Rajasthan Royals,Mumbai Indians,"April 07, 2026",Mumbai Indians,Bowl,Rajasthan Royals,Yashasvi Jaiswal,"Barsapara Stadium, Guwahati",19,League
Delhi Capitals,Gujarat Titans,"April 08, 2026",Delhi Capitals,Bowl,Gujarat Titans,Rashid Khan,"Arun Jaitley Stadium, Delhi",19,League
Kolkata Knight Riders,Lucknow Super Giants,"April 09, 2026",Lucknow Super Giants,Bowl,Lucknow Super Giants,Mukul Choudhary,"Eden Gardens, Kolkata",19,League
Rajasthan Royals,Royal Challengers Bengaluru,"April 10, 2026",Rajasthan Royals,Bowl,Rajasthan Royals,Vaibhav Sooryavanshi,"Barsapara Stadium, Guwahati",19,League
Punjab Kings,Sunrisers Hyderabad,"April 11, 2026",Punjab Kings,Bowl,Punjab Kings,Shreyas Iyer,"New PCA Cricket Stadium, Mullanpur",19,League
Chennai Super Kings,Delhi Capitals,"April 11, 2026",Delhi Capitals,Bowl,Chennai Super Kings,Sanju Samson,"MA Chidambaram Stadium, Chennai",19,League
Lucknow Super Giants,Gujarat Titans,"April 12, 2026",Gujarat Titans,Bowl,Gujarat Titans,Prasidh Krishna,"Ekana Cricket Stadium, Lucknow",19,League
Mumbai Indians,Royal Challengers Bengaluru,"April 12, 2026",Mumbai Indians,Bowl,Royal Challengers Bengaluru,Phil Salt,"Wankhede Stadium, Mumbai",19,League
Sunrisers Hyderabad,Rajasthan Royals,"April 13, 2026",Rajasthan Royals,Bowl,Sunrisers Hyderabad,Praful Hinge,"Rajiv Gandhi International Stadium, Hyderabad",19,League
Chennai Super Kings,Kolkata Knight Riders,"April 14, 2026",Kolkata Knight Riders,Bowl,Chennai Super Kings,Noor Ahmad,"MA Chidambaram Stadium, Chennai",19,League
Royal Challengers Bengaluru,Lucknow Super Giants,"April 15, 2026",Royal Challengers Bengaluru,Bowl,Royal Challengers Bengaluru,Josh Hazlewood,"M. Chinnaswamy Stadium, Bangalore",19,League
Mumbai Indians,Punjab Kings,"April 16, 2026",Punjab Kings,Bowl,Punjab Kings,Arshdeep Singh,"Wankhede Stadium, Mumbai",19,League
Gujarat Titans,Kolkata Knight Riders,"April 17, 2026",Kolkata Knight Riders,Bat,Gujarat Titans,Shubman Gill,"Narendra Modi Stadium, Ahmedabad",19,League
Royal Challengers Bengaluru,Delhi Capitals,"April 18, 2026",Delhi Capitals,Bowl,Delhi Capitals,Tristan Stubbs,"M. Chinnaswamy Stadium, Bangalore",19,League
Sunrisers Hyderabad,Chennai Super Kings,"April 18, 2026",Chennai Super Kings,Bowl,Sunrisers Hyderabad,Eshan Malinga,"Rajiv Gandhi International Stadium, Hyderabad",19,League
Kolkata Knight Riders,Rajasthan Royals,"April 19, 2026",Rajasthan Royals,Bat,Kolkata Knight Riders,Varun Chakravarthy,"Eden Gardens, Kolkata",19,League
Punjab Kings,Lucknow Super Giants,"April 19, 2026",Lucknow Super Giants,Bowl,Punjab Kings,Priyansh Arya,"New PCA Cricket Stadium, Mullanpur",19,League
Gujarat Titans,Mumbai Indians,"April 20, 2026",Gujarat Titans,Bowl,Mumbai Indians,Tilak Varma,"Narendra Modi Stadium, Ahmedabad",19,League
Sunrisers Hyderabad,Delhi Capitals,"April 21, 2026",Delhi Capitals,Bowl,Sunrisers Hyderabad,Abhishek Sharma,"Rajiv Gandhi International Stadium, Hyderabad",19,League
Lucknow Super Giants,Rajasthan Royals,"April 22, 2026",Lucknow Super Giants,Bowl,Lucknow Super Giants,Ravindra Jadeja,"Ekana Cricket Stadium, Lucknow",19,League
Mumbai Indians,Chennai Super Kings,"April 23, 2026",Mumbai Indians,Bowl,Chennai Super Kings,Sanju Samson,"Wankhede Stadium, Mumbai",19,League
Royal Challengers Bengaluru,Gujarat Titans,"April 24, 2026",Royal Challengers Bengaluru,Bowl,Royal Challengers Bengaluru,Virat Kohli,"M. Chinnaswamy Stadium, Bangalore",19,League
Delhi Capitals,Punjab Kings,"April 25, 2026",Delhi Capitals,Bat,Punjab Kings,KL Rahul,"Arun Jaitley Stadium, Delhi",19,League
Rajasthan Royals,Sunrisers Hyderabad,"April 25, 2026",Sunrisers Hyderabad,Bowl,Sunrisers Hyderabad,Ishan Kishan,"Sawai Mansingh Stadium, Jaipur",19,League
Gujarat Titans,Chennai Super Kings,"April 26, 2026",Gujarat Titans,Bowl,Gujarat Titans,Kagiso Rabada,"Narendra Modi Stadium, Ahmedabad",19,League
Lucknow Super Giants,Kolkata Knight Riders,"April 26, 2026",Lucknow Super Giants,Bowl,Kolkata Knight Riders,Rinku Singh,"Ekana Cricket Stadium, Lucknow",19,League
Delhi Capitals,Royal Challengers Bengaluru,"April 27, 2026",Royal Challengers Bengaluru,Bowl,Royal Challengers Bengaluru,Josh Hazlewood,"Arun Jaitley Stadium, Delhi",19,League
