team1,team2,match_date,toss_winner,toss_decision,winner,player_of_match,venue,season,match_type
Sunrisers Hyderabad,Kolkata Knight Riders,24-03-2019,Kolkata Knight Riders,field,Kolkata Knight Riders,AD Russell,Eden Gardens,12,League
Delhi Capitals,Mumbai Indians,24-03-2019,Mumbai Indians,field,Delhi Capitals,RR Pant,Wankhede Stadium,12,League
Kings XI Punjab,Rajasthan Royals,25-03-2019,Rajasthan Royals,field,Kings XI Punjab,CH Gayle,Sawai Mansingh Stadium,12,League
Delhi Capitals,Chennai Super Kings,26-03-2019,Delhi Capitals,bat,Chennai Super Kings,SR Watson,Arun Jaitley Stadium,12,League
Kolkata Knight Riders,Kings XI Punjab,27-03-2019,Kings XI Punjab,field,Kolkata Knight Riders,AD Russell,Eden Gardens,12,League
Mumbai Indians,Royal Challengers Bangalore,28-03-2019,Royal Challengers Bangalore,field,Mumbai Indians,JJ Bumrah,M.Chinnaswamy Stadium,12,League
Rajasthan Royals,Sunrisers Hyderabad,29-03-2019,Rajasthan Royals,bat,Sunrisers Hyderabad,Rashid Khan,Rajiv Gandhi International Stadium,12,League
Kolkata Knight Riders,Delhi Capitals,30-03-2019,Delhi Capitals,field,,PP Shaw,Arun Jaitley Stadium,12,League
Mumbai Indians,Kings XI Punjab,30-03-2019,Kings XI Punjab,field,Kings XI Punjab,MA Agarwal,Punjab Cricket Association IS Bindra Stadium,12,League
Chennai Super Kings,Rajasthan Royals,31-03-2019,Rajasthan Royals,field,Chennai Super Kings,MS Dhoni,MA Chidambaram Stadium,12,League
Sunrisers Hyderabad,Royal Challengers Bangalore,31-03-2019,Royal Challengers Bangalore,field,Sunrisers Hyderabad,JM Bairstow,Rajiv Gandhi International Stadium,12,League
Kings XI Punjab,Delhi Capitals,01-04-2019,Delhi Capitals,field,Kings XI Punjab,SM Curran,Punjab Cricket Association IS Bindra Stadium,12,League
Royal Challengers Bangalore,Rajasthan Royals,02-04-2019,Rajasthan Royals,field,Rajasthan Royals,S Gopal,Sawai Mansingh Stadium,12,League
Mumbai Indians,Chennai Super Kings,03-04-2019,Chennai Super Kings,field,Mumbai Indians,HH Pandya,Wankhede Stadium,12,League
Delhi Capitals,Sunrisers Hyderabad,04-04-2019,Sunrisers Hyderabad,field,Sunrisers Hyderabad,JM Bairstow,Arun Jaitley Stadium,12,League
Royal Challengers Bangalore,Kolkata Knight Riders,05-04-2019,Kolkata Knight Riders,field,Kolkata Knight Riders,AD Russell,M.Chinnaswamy Stadium,12,League
Mumbai Indians,Sunrisers Hyderabad,06-04-2019,Sunrisers Hyderabad,field,Mumbai Indians,AS Joseph,Rajiv Gandhi International Stadium,12,League
Chennai Super Kings,Kings XI Punjab,06-04-2019,Chennai Super Kings,bat,Chennai Super Kings,Harbhajan Singh,MA Chidambaram Stadium,12,League
Royal Challengers Bangalore,Delhi Capitals,07-04-2019,Delhi Capitals,field,Delhi Capitals,K Rabada,M.Chinnaswamy Stadium,12,League
Rajasthan Royals,Kolkata Knight Riders,07-04-2019,Kolkata Knight Riders,field,Kolkata Knight Riders,HF Gurney,Sawai Mansingh Stadium,12,League
Sunrisers Hyderabad,Kings XI Punjab,08-04-2019,Kings XI Punjab,field,Kings XI Punjab,KL Rahul,Punjab Cricket Association IS Bindra Stadium,12,League
Kolkata Knight Riders,Chennai Super Kings,09-04-2019,Chennai Super Kings,field,Chennai Super Kings,DL Chahar,MA Chidambaram Stadium,12,League
Kings XI Punjab,Mumbai Indians,10-04-2019,Mumbai Indians,field,Mumbai Indians,KA Pollard,Wankhede Stadium,12,League
Rajasthan Royals,Chennai Super Kings,11-04-2019,Chennai Super Kings,field,Chennai Super Kings,MS Dhoni,Sawai Mansingh Stadium,12,League
Kolkata Knight Riders,Delhi Capitals,12-04-2019,Delhi Capitals,field,Delhi Capitals,S Dhawan,Eden Gardens,12,League
Kings XI Punjab,Royal Challengers Bangalore,13-04-2019,Royal Challengers Bangalore,field,Royal Challengers Bangalore,AB de Villiers,Punjab Cricket Association IS Bindra Stadium,12,League
Mumbai Indians,Rajasthan Royals,13-04-2019,Rajasthan Royals,field,Rajasthan Royals,JC Buttler,Wankhede Stadium,12,League
Delhi Capitals,Sunrisers Hyderabad,14-04-2019,Sunrisers Hyderabad,field,Delhi Capitals,KMA Paul,Rajiv Gandhi International Stadium,12,League
Kolkata Knight Riders,Chennai Super Kings,14-04-2019,Chennai Super Kings,field,Chennai Super Kings,Imran Tahir,Eden Gardens,12,League
Royal Challengers Bangalore,Mumbai Indians,15-04-2019,Mumbai Indians,field,Mumbai Indians,SL Malinga,Wankhede Stadium,12,League
Kings XI Punjab,Rajasthan Royals,16-04-2019,Rajasthan Royals,field,Kings XI Punjab,R Ashwin,Punjab Cricket Association IS Bindra Stadium,12,League
Chennai Super Kings,Sunrisers Hyderabad,17-04-2019,Chennai Super Kings,bat,Sunrisers Hyderabad,DA Warner,Rajiv Gandhi International Stadium,12,League
Mumbai Indians,Delhi Capitals,18-04-2019,Mumbai Indians,bat,Mumbai Indians,HH Pandya,Arun Jaitley Stadium,12,League
Royal Challengers Bangalore,Kolkata Knight Riders,19-04-2019,Kolkata Knight Riders,field,Royal Challengers Bangalore,V Kohli,Eden Gardens,12,League
Kings XI Punjab,Delhi Capitals,20-04-2019,Delhi Capitals,field,Delhi Capitals,SS Iyer,Arun Jaitley Stadium,12,League
Mumbai Indians,Rajasthan Royals,20-04-2019,Rajasthan Royals,field,Rajasthan Royals,SPD Smith,Sawai Mansingh Stadium,12,League
Kolkata Knight Riders,Sunrisers Hyderabad,21-04-2019,Sunrisers Hyderabad,field,Sunrisers Hyderabad,KK Ahmed,Rajiv Gandhi International Stadium,12,League
Royal Challengers Bangalore,Chennai Super Kings,21-04-2019,Chennai Super Kings,field,Royal Challengers Bangalore,PA Patel,M.Chinnaswamy Stadium,12,League
Rajasthan Royals,Delhi Capitals,22-04-2019,Delhi Capitals,field,Delhi Capitals,RR Pant,Sawai Mansingh Stadium,12,League
Sunrisers Hyderabad,Chennai Super Kings,23-04-2019,Chennai Super Kings,field,Chennai Super Kings,SR Watson,MA Chidambaram Stadium,12,League
Royal Challengers Bangalore,Kings XI Punjab,24-04-2019,Kings XI Punjab,field,Royal Challengers Bangalore,AB de Villiers,M.Chinnaswamy Stadium,12,League
Kolkata Knight Riders,Rajasthan Royals,25-04-2019,Rajasthan Royals,field,Rajasthan Royals,VR Aaron,Eden Gardens,12,League
Mumbai Indians,Chennai Super Kings,26-04-2019,Chennai Super Kings,field,Mumbai Indians,RG Sharma,MA Chidambaram Stadium,12,League
